Dataset;Layer config;lr;Alpha;Beta;Accuracy;Precision;Recall;F1;Loss
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.7;0.724;0.747;0.724;0.7;0.728
FASHION MNIST;[784, 100, 10];0.001;0.9;0.8;0.723;0.734;0.723;0.71;0.544
FASHION MNIST;[784, 10, 10, 10];0.001;0.8;0.4;0.723;0.756;0.723;0.719;0.664
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.5;0.723;0.76;0.722;0.71;0.72
FASHION MNIST;[784, 10, 10, 10];0.001;0.65;0.8;0.722;0.736;0.722;0.696;0.597
FASHION MNIST;[784, 100, 10];0.001;0.65;0.4;0.721;0.76;0.721;0.701;0.405
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.7;0.721;0.726;0.721;0.715;0.67
FASHION MNIST;[784, 10, 10, 10];0.001;0.5;0.7;0.72;0.687;0.72;0.666;0.678
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.7;0.719;0.744;0.719;0.701;0.772
FASHION MNIST;[784, 100, 10];0.001;0.6;0.5;0.714;0.754;0.714;0.697;0.4
FASHION MNIST;[784, 100, 10];0.001;0.65;0.7;0.709;0.736;0.709;0.698;0.478
FASHION MNIST;[784, 100, 10];0.001;0.75;0.8;0.708;0.736;0.708;0.692;0.472
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.7;0.708;0.705;0.707;0.676;0.794
FASHION MNIST;[784, 10, 10, 10];0.001;0.6;0.7;0.704;0.735;0.704;0.683;0.702
FASHION MNIST;[784, 100, 10];0.001;0.5;0.6;0.7;0.752;0.7;0.677;0.415
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.85;0.8;0.696;0.703;0.696;0.671;0.857
FASHION MNIST;[784, 100, 10];0.001;0.85;0.6;0.696;0.732;0.696;0.679;0.502
FASHION MNIST;[784, 100, 10];0.001;0.95;0.4;0.695;0.744;0.695;0.678;0.494
FASHION MNIST;[784, 100, 10];0.001;0.55;0.8;0.692;0.735;0.692;0.676;0.49
FASHION MNIST;[784, 10, 10, 10];0.001;0.9;0.6;0.691;0.73;0.691;0.68;0.75
FASHION MNIST;[784, 100, 10];0.001;0.65;0.5;0.689;0.737;0.688;0.662;0.413
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.75;0.8;0.688;0.723;0.688;0.66;0.767
FASHION MNIST;[784, 100, 10];0.001;0.6;0.6;0.688;0.736;0.688;0.661;0.435
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.5;0.687;0.694;0.687;0.671;0.734
FASHION MNIST;[784, 100, 10];0.001;0.6;0.8;0.683;0.737;0.684;0.66;0.501
FASHION MNIST;[784, 100, 10];0.001;0.75;0.4;0.682;0.729;0.682;0.657;0.431
FASHION MNIST;[784, 10, 10, 10];0.001;0.85;0.8;0.682;0.7;0.682;0.642;0.789
FASHION MNIST;[784, 100, 10];0.001;0.8;0.8;0.68;0.709;0.68;0.663;0.545
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.8;0.8;0.68;0.666;0.68;0.647;0.783
FASHION MNIST;[784, 100, 10];0.001;0.6;0.5;0.667;0.735;0.667;0.636;0.416
FASHION MNIST;[784, 100, 10];0.001;0.8;0.6;0.662;0.724;0.662;0.641;0.497
FASHION MNIST;[784, 100, 10];0.001;0.9;0.6;0.66;0.701;0.66;0.644;0.512
FASHION MNIST;[784, 100, 10];0.001;0.75;0.6;0.659;0.701;0.659;0.633;0.47
FASHION MNIST;[784, 100, 10];0.001;0.95;0.7;0.656;0.698;0.656;0.641;0.582
FASHION MNIST;[784, 100, 10];0.001;0.7;0.8;0.656;0.718;0.656;0.63;0.519
FASHION MNIST;[784, 10, 10, 10];0.001;0.95;0.7;0.651;0.664;0.651;0.609;0.805
FASHION MNIST;[784, 100, 10];0.001;0.95;0.6;0.649;0.699;0.649;0.64;0.548
FASHION MNIST;[784, 100, 10];0.001;0.95;0.5;0.647;0.709;0.646;0.626;0.513
FASHION MNIST;[784, 100, 10];0.001;0.5;0.8;0.64;0.724;0.64;0.608;0.47
FASHION MNIST;[784, 100, 10];0.001;0.8;0.4;0.639;0.693;0.638;0.606;0.447
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.9;0.8;0.635;0.691;0.635;0.603;0.828
FASHION MNIST;[784, 100, 10];0.001;0.75;0.8;0.632;0.714;0.632;0.597;0.542
FASHION MNIST;[784, 100, 10];0.001;0.9;0.7;0.632;0.707;0.632;0.611;0.564
FASHION MNIST;[784, 100, 10];0.01;0.9;0.8;0.625;0.745;0.625;0.578;0.908
FASHION MNIST;[784, 100, 10];0.001;0.6;0.4;0.62;0.683;0.62;0.581;0.389
FASHION MNIST;[784, 100, 10];0.001;0.9;0.8;0.617;0.678;0.617;0.593;0.614
FASHION MNIST;[784, 100, 10];0.001;0.7;0.7;0.615;0.699;0.615;0.59;0.495
FASHION MNIST;[784, 20, 10, 10, 10];0.001;0.95;0.7;0.613;0.619;0.613;0.561;0.814
