Dataset;Layer config;lr;Beta;Reset Mechanism;Timesteps;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 10, 10, 10];0.0001;0.75;subtract;64;0.861;0.862;0.857;0.856;0.464
MNIST;[784, 100, 10];0.001;0.65;zero;32;0.86;0.873;0.86;0.855;0.096
MNIST;[784, 100, 10];0.001;0.5;subtract;4;0.86;0.877;0.859;0.858;0.093
MNIST;[784, 10, 10, 10];0.0001;0.8500000000000001;subtract;16;0.86;0.861;0.857;0.857;0.533
MNIST;[784, 100, 10];0.001;0.65;subtract;64;0.858;0.872;0.858;0.855;0.086
MNIST;[784, 100, 10];0.01;0.55;subtract;64;0.858;0.872;0.856;0.856;0.129
MNIST;[784, 100, 10];0.001;0.65;subtract;4;0.857;0.871;0.856;0.854;0.1
MNIST;[784, 10, 10, 10];0.0001;0.6000000000000001;subtract;32;0.854;0.852;0.851;0.851;0.637
MNIST;[784, 100, 10];0.01;0.45;subtract;16;0.854;0.865;0.851;0.851;0.123
MNIST;[784, 100, 10];0.001;0.4;zero;16;0.852;0.868;0.851;0.85;0.091
MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;subtract;4;0.851;0.856;0.848;0.847;0.646
MNIST;[784, 100, 10];0.001;0.8500000000000001;subtract;16;0.851;0.863;0.849;0.846;0.129
MNIST;[784, 100, 10];0.01;0.75;subtract;32;0.851;0.862;0.848;0.847;0.182
MNIST;[784, 100, 10];0.0001;0.8500000000000001;subtract;32;0.849;0.862;0.847;0.844;0.192
MNIST;[784, 20, 10, 10, 10];0.0001;0.45;zero;32;0.847;0.85;0.845;0.844;0.639
MNIST;[784, 20, 10, 10, 10];0.0001;0.45;zero;128;0.847;0.85;0.844;0.843;0.628
MNIST;[784, 20, 10, 10, 10];0.0001;0.9;subtract;4;0.845;0.847;0.843;0.843;0.615
MNIST;[784, 20, 10, 10, 10];0.001;0.9;subtract;128;0.845;0.847;0.841;0.84;0.354
MNIST;[784, 100, 10];0.01;0.8;zero;8;0.844;0.86;0.842;0.842;0.185
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.4;subtract;32;0.843;0.846;0.843;0.844;0.51
MNIST;[784, 100, 10];0.001;0.75;zero;4;0.842;0.859;0.841;0.836;0.11
MNIST;[784, 100, 10];0.1;0.4;subtract;64;0.841;0.861;0.841;0.842;0.357
MNIST;[784, 10, 10, 10];0.0001;0.55;subtract;128;0.841;0.842;0.839;0.837;0.666
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.55;subtract;64;0.841;0.841;0.841;0.838;0.479
MNIST;[784, 100, 10];0.01;0.55;zero;8;0.841;0.864;0.837;0.836;0.128
MNIST;[784, 100, 10];0.001;0.4;zero;4;0.84;0.858;0.839;0.835;0.098
MNIST;[784, 100, 10];0.001;0.7000000000000001;zero;4;0.837;0.856;0.836;0.831;0.105
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.5;subtract;8;0.835;0.834;0.835;0.832;0.511
MNIST;[784, 100, 10];0.01;0.65;subtract;64;0.835;0.86;0.832;0.83;0.183
MNIST;[784, 100, 10];0.01;0.45;subtract;128;0.834;0.857;0.832;0.828;0.122
MNIST;[784, 20, 10, 10, 10];0.0001;0.55;subtract;8;0.832;0.843;0.828;0.825;0.652
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.5;zero;8;0.832;0.835;0.832;0.828;0.531
FASHION_MNIST;[784, 10, 10, 10];0.001;0.8;subtract;64;0.83;0.831;0.83;0.828;0.482
MNIST;[784, 100, 10];0.01;0.8;zero;32;0.829;0.843;0.827;0.823;0.199
MNIST;[784, 20, 10, 10, 10];0.001;0.5;subtract;128;0.828;0.835;0.826;0.821;0.634
MNIST;[784, 100, 10];0.01;0.8500000000000001;zero;4;0.826;0.848;0.825;0.822;0.154
MNIST;[784, 20, 10, 10, 10];0.0001;0.95;subtract;32;0.826;0.836;0.82;0.813;0.47
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.6000000000000001;subtract;8;0.826;0.83;0.826;0.824;0.5
MNIST;[784, 10, 10, 10];0.0001;0.9;zero;8;0.826;0.824;0.822;0.82;0.656
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.9;subtract;128;0.825;0.827;0.825;0.822;0.467
MNIST;[784, 100, 10];0.001;0.75;zero;64;0.823;0.843;0.822;0.814;0.101
MNIST;[784, 100, 10];0.01;0.75;zero;4;0.821;0.845;0.819;0.817;0.147
MNIST;[784, 20, 10, 10, 10];0.0001;0.8;zero;8;0.821;0.826;0.819;0.818;0.601
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.4;zero;128;0.821;0.825;0.821;0.82;0.52
FASHION_MNIST;[784, 10, 10, 10];0.001;0.55;zero;32;0.821;0.825;0.821;0.816;0.522
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.5;zero;128;0.82;0.829;0.82;0.821;0.508
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.5;zero;32;0.82;0.827;0.82;0.819;0.51
FASHION_MNIST;[784, 10, 10, 10];0.001;0.4;zero;128;0.819;0.826;0.819;0.814;0.525
MNIST;[784, 100, 10];0.01;0.7000000000000001;subtract;128;0.819;0.837;0.818;0.815;0.147
MNIST;[784, 10, 10, 10];0.0001;0.95;subtract;32;0.819;0.83;0.814;0.812;0.615
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.6000000000000001;zero;128;0.818;0.826;0.818;0.814;0.49
MNIST;[784, 100, 10];0.01;0.7000000000000001;subtract;16;0.813;0.842;0.809;0.806;0.164
FASHION_MNIST;[784, 10, 10, 10];0.001;0.8500000000000001;zero;4;0.812;0.819;0.812;0.806;0.582
MNIST;[784, 20, 10, 10, 10];0.001;0.45;zero;128;0.811;0.82;0.808;0.806;0.667
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.8;subtract;64;0.809;0.817;0.809;0.81;0.447
FASHION_MNIST;[784, 100, 10];0.01;0.75;subtract;32;0.808;0.812;0.808;0.803;0.536
FASHION_MNIST;[784, 100, 10];0.01;0.75;zero;4;0.808;0.812;0.808;0.804;0.502
MNIST;[784, 100, 10];0.1;0.5;zero;4;0.807;0.823;0.805;0.802;0.354
FASHION_MNIST;[784, 100, 10];0.01;0.8500000000000001;subtract;32;0.799;0.806;0.799;0.788;0.58
MNIST;[784, 20, 10, 10, 10];0.0001;0.65;zero;64;0.799;0.805;0.796;0.795;0.542
FASHION_MNIST;[784, 100, 10];0.01;0.7000000000000001;subtract;128;0.799;0.83;0.799;0.803;0.485
MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;zero;128;0.797;0.808;0.795;0.793;0.524
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.7000000000000001;zero;32;0.797;0.801;0.797;0.792;0.503
MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;zero;16;0.796;0.804;0.793;0.791;0.564
MNIST;[784, 100, 10];0.1;0.45;subtract;16;0.795;0.832;0.794;0.787;0.384
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.8500000000000001;subtract;64;0.794;0.796;0.794;0.791;0.474
